rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, team kill, kill, assist, hunting, killer, gameId, teamName
1, 16, Theodore, VaI, 가우스라이플, SniperRifle, 12, 5, 0, 4, 2, , 22951356, Nerf Sissela
1, 16, Mai, Danimani, 혈화구절편, Whip, 12, 5, 1, 3, 7, , 22951356, Nerf Sissela
1, 19, Nadine, Trick, 페일노트, Bow, 20, 5, 4, 1, 100, , 22951356, Nerf Sissela
2, 17, Alex, Pom, 생사부, Tonfa, 16, 9, 3, 5, 12, Trick, 22951356, frenns playyin squaas
2, 18, Elena, Arky, 미스틸테인, Rapier, 15, 9, 2, 7, 12, Trick, 22951356, frenns playyin squaas
2, 17, LiDailin, FDGood, 케르베로스, Nunchaku, 15, 9, 4, 3, 27, Trick, 22951356, frenns playyin squaas
3, 16, Isaac, ImpVivi, 홀스터톤파, Tonfa, 15, 6, 3, 3, 30, Trick, 22951356, Cute E-Boys
3, 14, Priya, 22MーRFT54, 캡틴페퍼, Guitar, 12, 6, 0, 4, 17, Quilt, 22951356, Cute E-Boys
3, 17, Cathy, Allamand, 월식, OneHandSword, 15, 6, 3, 3, 26, Pom, 22951356, Cute E-Boys
4, 13, Shoichi, omk, 파산검, OneHandSword, 13, 6, 5, 2, 11, FDGood, 22951356, the unknowns
4, 16, Chloe, menendez20fr, 만천화우, DirectFire, 14, 6, 0, 5, 44, Arky, 22951356, the unknowns
4, 13, Camilo, buyanjun, 주와이외즈, Rapier, 12, 6, 2, 4, 16, Pom, 22951356, the unknowns
5, 14, Leon, MigWellow, 디바인피스트, Glove, 11, 5, 1, 3, 12, ImpVivi, 22951356, Liberty Leading the People
5, 14, Adela, LekonardoDaVinci, 미스틸테인, Rapier, 13, 5, 1, 3, 21, ImpVivi, 22951356, Liberty Leading the People
5, 15, Jackie, Quilt, 마하라자, OneHandSword, 13, 5, 3, 1, 35, ImpVivi, 22951356, Liberty Leading the People
6, 9, Irem, Connax, 점착폭탄, HighAngleFire, 5, 0, 0, 0, 3, omk, 22951356, cat go brr
6, 8, Sua, Baumi69, 낭아봉, Hammer, 5, 0, 0, 0, 3, omk, 22951356, cat go brr
6, 8, Rozzi, roseblack, 매그넘-보아, Pistol, 4, 0, 0, 0, 2, omk, 22951356, cat go brr
