rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, team kill, kill, assist, hunting, killer, gameId, teamName
1, 17, Mai, Danimani, 글레이프니르, Whip, 13, 8, 1, 7, 2, , 22950969, Nerf Sissela
1, 16, Theodore, VaI, 가우스라이플, SniperRifle, 14, 8, 2, 6, 2, , 22950969, Nerf Sissela
1, 19, Nadine, Trick, 페일노트, Bow, 20, 8, 5, 3, 94, , 22950969, Nerf Sissela
2, 17, LiDailin, FDGood, 소수, Glove, 15, 10, 2, 4, 27, Trick, 22950969, frenns playyin squaas
2, 17, Elena, Arky, 활빈검, Rapier, 15, 10, 3, 7, 17, Trick, 22950969, frenns playyin squaas
2, 18, Bernice, Pom, 폴라리스, SniperRifle, 17, 10, 5, 4, 35, Trick, 22950969, frenns playyin squaas
3, 16, Lenox, LekonardoDaVinci, 혈화구절편, Whip, 14, 2, 1, 0, 24, Trick, 22950969, Liberty Leading the People
3, 17, Echion, Quilt, 블랙맘바킹-TL, VFArm, 15, 2, 1, 1, 37, Pom, 22950969, Liberty Leading the People
3, 14, Xiukai, MigWellow, 방천화극, Spear, 10, 2, 0, 1, 25, FDGood, 22950969, Liberty Leading the People
4, 15, Isaac, ImpVivi, 홀스터톤파, Tonfa, 12, 7, 2, 5, 17, Quilt, 22950969, Cute E-Boys
4, 16, Priya, 22MーRFT54, 캡틴페퍼, Guitar, 17, 7, 4, 3, 22, VaI, 22950969, Cute E-Boys
4, 15, Cathy, Allamand, 파산검, OneHandSword, 12, 7, 1, 5, 19, Quilt, 22950969, Cute E-Boys
5, 16, Camilo, buyanjun, 주와이외즈, Rapier, 14, 9, 2, 6, 12, Pom, 22950969, the unknowns
5, 16, Shoichi, omk, 월식, OneHandSword, 16, 9, 4, 4, 23, Pom, 22950969, the unknowns
5, 16, Chloe, menendez20fr, 미치광이왕의카드, DirectFire, 15, 9, 3, 6, 33, Pom, 22950969, the unknowns
6, 16, Irem, Connax, 점착폭탄, HighAngleFire, 15, 10, 3, 6, 21, VaI, 22950969, cat go brr
6, 14, Sua, Baumi69, 개밥바라기, Hammer, 13, 10, 4, 6, 10, 22MーRFT54, 22950969, cat go brr
6, 13, Rozzi, roseblack, 매그넘-보아, Pistol, 12, 10, 3, 4, 11, ImpVivi, 22950969, cat go brr
