 nickname, teamName
Player 1, Team 1
Player 2, Team 2
Player 3, Team 3
Player 4, Team 4
Player 5, Team 5
Player 6, Team 6
Player 7, Team 7
Player 8, Team 8
Player 9, Team 9
Player 10, Team 10
Player 11, Team 11
Player 12, Team 12
Player 13, Team 13
Player 14, Team 14
Player 15, Team 15
Player 16, Team 16
Player 17, Team 17
Player 18, Team 18
Player 19, Team 1
Player 20, Team 2
Player 21, Team 3
Player 22, Team 4
Player 23, Team 5
Player 24, Team 6
Player 25, Team 7
Player 26, Team 8
Player 27, Team 9
Player 28, Team 10
Player 29, Team 11
Player 30, Team 12
Player 31, Team 13
Player 32, Team 14
Player 33, Team 15
Player 34, Team 16
Player 35, Team 17
Player 36, Team 18
Player 37, Team 1
Player 38, Team 2
Player 39, Team 3
Player 40, Team 4
Player 41, Team 5
Player 42, Team 6
Player 43, Team 7
Player 44, Team 8
Player 45, Team 9
Player 46, Team 10
Player 47, Team 11
Player 48, Team 12
Player 49, Team 13
Player 50, Team 14
Player 51, Team 15
Player 52, Team 16
Player 53, Team 17
Player 54, Team 18
