rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,total field kill,team kill,kill,assist,hunting,killer,gameId,teamName
1,18,Yuki,MajinTenshinhan,간장과막야,DualSword,17,1,1,1,0,42,,23074411,
1,19,Eva,ChillScorpion22,루테늄구슬,HighAngleFire,20,1,1,0,0,34,SmugDragon,23074411,
2,19,Elena,Baumi69,미스틸테인,Rapier,18,1,6,4,0,47,SmugDragon,23074411,
2,19,Estelle,Connax,반고부,Axe,18,1,6,2,0,42,Trick,23074411,
3,18,Emma,Trick,더문,Arcana,16,4,12,7,5,48,SmugDragon,23074411,
3,18,Irem,Danimani,점착폭탄,HighAngleFire,16,4,12,5,7,33,SmugDragon,23074411,
4,17,Leon,Meochi,천잠장갑,Glove,14,8,13,4,0,32,Trick,23074411,
4,16,Jenny,Mizusa,플라즈마건,Pistol,12,8,13,9,0,47,Arky,23074411,
5,16,Daniel,Dooming,프라가라흐,OneHandSword,14,8,9,8,0,41,Connax,23074411,
5,16,Luke,Yujio,타구봉,Bat,13,8,9,1,0,32,Trick,23074411,
6,17,Shoichi,ImpVivi,월식,OneHandSword,15,2,4,2,0,37,Stimoro,23074411,
6,16,Daniel,Allamand,프라가라흐,OneHandSword,14,2,4,2,0,37,omk,23074411,
7,15,Barbara,BestValezi,타구봉,Bat,11,2,5,1,0,21,SmugDragon,23074411,
7,15,Rozzi,SmugDragon,악켈테,Pistol,14,2,5,4,0,43,omk,23074411,
8,14,Luke,NyarkoO,타구봉,Bat,11,0,0,0,0,22,Stimoro,23074411,
8,13,Haze,RainyTheExile,골드러시,AssaultRifle,11,0,0,0,0,22,Trick,23074411,
9,11,Isaac,haizu,만년한파,Tonfa,8,0,1,0,0,9,Arky,23074411,
9,8,Alex,omu,류큐톤파,Tonfa,5,0,1,1,0,3,Trick,23074411,
