rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,team kill,kill,assist,hunting,killer, gameId, teamName
1,20,Celine,MinHaiYun,파이어볼,HighAngleFire,20,4,4,0,69,,23025060,
2,19,Laura,Ezter,혈화구절편,Whip,18,3,3,0,45,MinHaiYun,23025060,
3,18,Estelle,NikkoNikkoSushi,낙원의낫,Axe,16,2,2,0,32,Ezter,23025060,
4,19,Hyunwoo,Phgdot,천잠장갑,Glove,18,3,3,0,66,Ezter,23025060,
5,17,Hyunwoo,Cristianrsh,천잠장갑,Glove,14,7,7,0,36,Phgdot,23025060,
6,17,Aiden,lauqe,모노호시자오,TwoHandSword,16,2,2,0,49,MinHaiYun,23025060,
7,15,Sissela,mika2,생사부,DirectFire,12,0,0,0,24,Cristianrsh,23025060,
8,15,Bianca,Delinko,더문,Arcana,14,1,1,0,43,Phgdot,23025060,
9,15,Hart,Piemaster,원더풀투나잇,Guitar,12,1,1,0,21,MinHaiYun,23025060,
10,13,Chiara,DrowningKittens,미스틸테인,Rapier,12,0,0,0,27,MinHaiYun,23025060,
11,12,Chiara,NyNyKash,볼틱레토,Rapier,10,1,1,0,9,Phgdot,23025060,
12,12,Cathy,LilNatey,월식,OneHandSword,11,1,1,0,19,Ezter,23025060,
13,12,Hyunwoo,grandfleet,마이쏙,Tonfa,10,0,0,0,15,Cristianrsh,23025060,
14,12,Camilo,JignutJorgeston,주와이외즈,Rapier,10,3,3,0,22,NikkoNikkoSushi,23025060,
15,12,Sua,Superior,낭아봉,Hammer,10,1,1,0,12,Cristianrsh,23025060,
16,11,Yuki,Footkie,디오스쿠로이,DualSword,8,0,0,0,21,Superior,23025060,
17,8,Sissela,DeusXM,풍마수리검,DirectFire,5,0,0,0,6,lauqe,23025060,
18,6,Chloe,KikiHanaki,플레솃,DirectFire,4,0,0,0,0,Delinko,23025060,
