rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,team kill,kill,assist,hunting,killer, killer, gameId, teamName
1,19,Celine,MinHaiYun,파이어볼,HighAngleFire,19,3,3,0,55,, ,23025060,
2,19,Magnus,Meowi,여의봉,Bat,20,5,5,0,68,MinHaiYun, ,23025060,
3,19,Silvia,FrankieDoodle,알타이르,Pistol,20,6,6,0,56,MinHaiYun, ,23025060,
4,19,Isol,Oozma,AK-12,AssaultRifle,18,3,3,0,79,FrankieDoodle, Ariden,23025060,
5,17,Hyunwoo,ScootHiroyuki,흑요석짓테,Tonfa,11,1,1,0,18,Meowi, Teaberry,23025060,
6,18,Chloe,Sakamata,수다르사나,DirectFire,17,2,2,0,33,Oozma, Ahipoki,23025060,
7,17,Yuki,ZeiN先輩,간장과막야,DualSword,15,1,1,0,50,FrankieDoodle, Ariden,23025060,
8,16,Yuki,Footkie,간장과막야,DualSword,14,1,1,0,37,ZeiN先輩, RestrictArea,23025060,
9,16,Tazia,GhostElectricity,생사부,DirectFire,15,2,2,0,22,Meowi, RestrictArea,23025060,
10,15,Yuki,MeekspeedyTTV,디오스쿠로이,DualSword,12,0,0,0,21,GhostElectricity, JinoWeeno,23025060,
11,13,Fiora,GallaZor,뚜언띠엔,TwoHandSword,11,2,2,0,22,GhostElectricity, JinoWeeno,23025060,
12,11,Hyunwoo,NovaSiva,마이쏙,Tonfa,7,1,1,0,10,Oozma, JinoWeeno,23025060,
13,12,Cathy,LilNatey,하이랜더더크,OneHandSword,10,1,1,0,14,FrankieDoodle, Ariden,23025060,
14,11,Nicky,Meismerizing,여래수투,Glove,9,0,0,0,10,LilNatey, Ariden,23025060,
15,10,Bianca,Delinko,은둔자,Arcana,8,1,1,0,10,FrankieDoodle, Ariden,23025060,
16,9,Nathapon,SevenStryke,미러리스,Camera,7,1,1,0,7,Delinko, Ghoul,23025060,
17,8,LiDailin,Ariden,소수,Glove,6,0,0,0,6,Meowi, Ghoul,23025060,
18,7,Chiara,NyNyKash,볼틱레토,Rapier,4,0,0,0,3,SevenStryke, RestrictArea,23025060,
