rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1,17,.,Player13,.,.,.,2,.,4,.,.,.,.,.
1,16,.,Player14,.,.,.,2,.,2,.,.,.,.,.
1,18,.,Player15,.,.,.,2,.,3,.,.,.,.,.
2,17,.,Player16,.,.,.,2,.,4,.,.,.,.,.
2,16,.,Player17,.,.,.,2,.,5,.,.,.,.,.
2,15,.,Player18,.,.,.,2,.,6,.,.,.,.,.
3,19,.,Player1,.,.,.,2,.,7,.,.,.,.,.
3,13,.,Player8,.,.,.,2,.,8,.,.,.,.,.
3,16,.,Player9,.,.,.,2,.,9,.,.,.,.,.
4,14,.,Player10,.,.,.,2,.,10,.,.,.,.,.
4,15,.,Player11,.,.,.,2,.,11,.,.,.,.,.
4,15,.,Player12,.,.,.,2,.,12,.,.,.,.,.
5,12,.,Player2,.,.,.,2,.,13,.,.,.,.,.
5,12,.,Player3,.,.,.,2,.,14,.,.,.,.,.
5,13,.,Player4,.,.,.,2,.,15,.,.,.,.,.
6,11,.,Player5,.,.,.,2,.,16,.,.,.,.,.
6,11,.,Player6,.,.,.,2,.,17,.,.,.,.,.
6,11,.,Player7,.,.,.,2,.,18,.,.,.,.,.
