rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1,17,.,Player1,.,.,.,2,.,3,.,.,.,., Team 1
1,16,.,Player2,.,.,.,2,.,4,.,.,.,., Team 1
1,18,.,Player3,.,.,.,2,.,5,.,.,.,., Team 1
2,17,.,Player4,.,.,.,2,.,6,.,.,.,., Team 4
2,16,.,Player5,.,.,.,2,.,7,.,.,.,., Team 4
2,15,.,Player6,.,.,.,2,.,8,.,.,.,., Team 4
3,19,.,Player7,.,.,.,2,.,9,.,.,.,., Team 5
3,13,.,Player8,.,.,.,2,.,10,.,.,.,., Team 5
3,16,.,Player9,.,.,.,2,.,11,.,.,.,., Team 5
4,14,.,Player10,.,.,.,2,.,12,.,.,.,., Team 2
4,15,.,Player11,.,.,.,2,.,13,.,.,.,., Team 2
4,15,.,Player12,.,.,.,2,.,14,.,.,.,., Team 2
5,12,.,Player13,.,.,.,2,.,15,.,.,.,., Team 6
5,12,.,Player14,.,.,.,2,.,16,.,.,.,., Team 6
5,13,.,Player15,.,.,.,2,.,17,.,.,.,., Team 6
6,11,.,Player16,.,.,.,2,.,18,.,.,.,., Team 3
6,11,.,Player17,.,.,.,2,.,19,.,.,.,., Team 3
6,11,.,Player18,.,.,.,2,.,20,.,.,.,., Team 3
