rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1,17,.,Player19,.,.,.,2,.,4,.,.,.,.,.
1,16,.,Player20,.,.,.,2,.,5,.,.,.,.,.
1,18,.,Player21,.,.,.,2,.,6,.,.,.,.,.
2,17,.,Player22,.,.,.,2,.,7,.,.,.,.,.
2,16,.,Player23,.,.,.,2,.,8,.,.,.,.,.
2,15,.,Player24,.,.,.,2,.,6,.,.,.,.,.
3,19,.,Player25,.,.,.,2,.,7,.,.,.,.,.
3,13,.,Player26,.,.,.,2,.,8,.,.,.,.,.
3,16,.,Player27,.,.,.,2,.,9,.,.,.,.,.
4,14,.,Player28,.,.,.,2,.,10,.,.,.,.,.
4,15,.,Player29,.,.,.,2,.,11,.,.,.,.,.
4,15,.,Player30,.,.,.,2,.,1,.,.,.,.,.
5,12,.,Player31,.,.,.,2,.,2,.,.,.,.,.
5,12,.,Player32,.,.,.,2,.,3,.,.,.,.,.
5,13,.,Player33,.,.,.,2,.,4,.,.,.,.,.
6,11,.,Player34,.,.,.,2,.,5,.,.,.,.,.
6,11,.,Player35,.,.,.,2,.,6,.,.,.,.,.
6,11,.,Player36,.,.,.,2,.,7,.,.,.,.,.
